Breed,Count 
Other,1655
Labrador Retriever,692
Golden Retriever,246
Unknown,162
German Shepherd,146
Beagle,141
Australian Shepherd,138
Border Collie,130
Chihuahua,107
Siberian Husky,90
Australian Cattledog,89
Pit Bull,70
Boxer,65
Shih Tzu,64
Hound,59
Boston Terrier,58
Shepherd,51
Jack Russell Terrier,50
"Dachshund, Miniature",49
Rat Terrier,49
Yorkshire Terrier,49
Pug,46
Cocker Spaniel,45
Pomeranian,43
Great Dane,41
German Shorthaired Pointer,39
Greyhound,39
Vizsla,38
"Poodle, Standard",37
Springer Spaniel,37
"Corgi, Pembroke",33
Havanese,33
Bichon Frise,31
"Poodle, Miniature",31
Maltese,30
Cavalier King Charles Spaniel,28
French Bulldog,28
Miniature Schnauzer,28
Collie,26
Brittany,25
Rhodesian Ridgeback,25
English Bulldog,24
Wheaton Terrier,24
Bernese Mountain Dog,22
Catahoula,22
Coonhound,21
"Poodle, Toy",21
Shiba Inu,21
Cairn Terrier,20
Shetland Sheepdog,20
"Dachshund, Standard",19
Great Pyrenees,19
"Schnauzer, Miniature",19
Shar-Pei,19
Weimaraner,19
American Bulldog,18
Pointer,18
Airedale Terrier,17
Newfoundland,17
American Staffordshire Terrier,16
West Highland Terrier,16
Basset Hound,15
Doberman Pinscher,15
English Cocker Spaniel,15
Miniature Pinscher,15
Plott Hound,15
Rottweiler,15
Staffordshire Bull Terrier,15
Treeing Walker Hound,14
Basenji,13
English Shepherd,13
Portugese Water Dog,13
Whippet,13
English Setter,12
Italian Greyhound,11
Samoyed,11
"Schnauzer, Standard",11
Alaskan Malamute,10
Papillon,10
Soft Coated Wheaten Terrier,10
Chesapeake Bay Retriever,9
Fox Terrier,9
Mastiff,9
Miniature Poodle,9
Toy Poodle,9
"Corgi, Cardigan",8
Old English Bulldog,8
Dalmatian,7
Dutch Shepherd,7
Standard Poodle,7
Bouvier Des Flandres,6
Bull Mastiff,6
Flat-Coated Retriever,6
Irish Setter,6
Japanese Chin,6
Scottish Terrier,6
Tibetan Terrier,6
Welsh Terrier,6
Wirehaired Pointing Griffon,6
Akita,5
American Eskimo,5
Bull Terrier,5
"Dachshund, Wirehair",5
Lhasa Apso,5
N. S. Duck Tolling Retriever,5
Wirehaired Terrier,5
Belgian Tervuren,4
Bloodhound,4
Brussels Griffon,4
Chinese Crested,4
Chow Chow,4
Clumber Spaniel,4
Coton De Tulear,4
Irish Terrier,4
Irish Wolfhound,4
Norwegian Elkhound,4
Redbone Coonhound,4
Silky Terrier,4
Spinoni,4
Tibetan Spaniel,4
American Water Spaniel,3
Miniature Dachshund,3
Pekingese,3
Saint Bernard,3
Australian Terrier,2
Bedlington Terrier,2
Belgian Malinois,2
Boykin Spaniel,2
Briard,2
Cane Corso,2
Gordon Setter,2
Keeshond,2
Leonberger,2
Manchester Terrier,2
Norwich Terrier,2
Swiss Mountain Dog,2
Welsh Springer Spaniel,2
Anatolian,1
Belgian Shepherd,1
Field Spaniel,1
Miniature Bull Terrier,1
Neapolitan Mastiff,1
Old English Sheepdog,1
(blank),
